"TP load","Qmin","Crop production","NSWRM costs","linE","pond_share_con","hedge_share_con","grassslope_share_con","buffer_share_con","lowtillcc_share_con","lu_share","pond_moran","hedge_moran","grassslope_moran","buffer_moran","lowtillcc_moran","pond_channel_frac","grassslope_channel_frac","buffer_channel_frac","lowtillcc_channel_frac"
-5874,0.14235,58717.362,38183.54649,620,0,0,81.80216811,89.71915649,3.487596878,28.37167938,0,0,0.000135142,0.002996499,0.000424638,0,2.629240528,0.803961348,93.98738723
-6423,0.14288,58996.376,-74292.45837,12.29508197,33.88460675,1.873319565,4.665087708,15.44155013,17.2201405,0.735600792,0.000103991,8.59e-05,0.000225809,0.000245191,0.002558002,2.906813185,0.074249453,14.34720896,0.177836861
-5411,0.14649,58769.255,-455669.1503,8.45323741,20.79622839,21.51308025,48.05140503,15.44155013,95.59953209,0.863517681,0.000115852,0.000360931,0.000604818,0.000245191,0.001612294,3.968728032,4.475989318,14.34720896,0.058680108
-6751,0.14156,59052.229,2185.57958,0,0,0,1.427455105,11.89205086,0,100,0,0,0.00015979,0.000175538,0,0,76.814,22.16506791,0
-5730,0.14479,58980.728,-272091.9139,8.62745098,20.79622839,0,0,100,83.96569793,0.410945213,0.000115852,0,0,0.003351862,0.00192792,3.968728032,0,0.719642481,0.163704731
-5549,0.14525,58935.275,-545965.9939,10.83172147,30.68023647,35.46636069,15.39406283,42.86885453,88.58794691,0.670380802,0.00014153,0.000988515,0.000751452,0.001357605,0.002497298,2.408856334,14.84998092,1.159982004,0.120166977
-5778,0.14604,58960.763,-330488.7484,0.927643785,20.79622839,3.802270918,2.225179027,1.107525191,89.91808493,0.066166603,0.000115852,0.000181095,0.000117195,0.000181866,0.001653714,3.968728032,119.741,15.779,0.053483668
-5600,0.14632,58911.016,-481174.621,5.109489051,27.36361595,24.1671236,10.7825321,17.94999396,92.27272505,0.401773665,0.000143328,0.000357755,0.000312593,0.000332958,0.001419194,3.016215938,17.43995264,7.013300878,0.062753973
-5851,0.14318,58544.743,-3588.84015,97.05882353,20.79622839,0,87.70387935,99.00800725,15.70216696,8.669516877,0.000115852,0,0.000493078,0.003284652,0.002225049,3.968728032,2.081073617,0.728534348,0.822423953
-5567,0.14552,58850.875,-245263.7381,14.83870968,20.79622839,2.237587744,56.79223071,72.72879776,77.50660474,1.287410604,0.000115852,0.000173483,0.000824002,0.002293853,0.001938908,3.968728032,4.358401624,0.989487663,0.247695184
